TRAINSEG_1,260
TRAINSEG_2,205
TRAINSEG_3,328
TRAINSEG_4,261
TRAINSEG_5,633
TRAINSEG_6,4236
TRAINSEG_7,1293
TRAINSEG_8,72
TRAINSEG_9,50
TRAINSEG_10,162
TRAINSEG_11,365
TRAINSEG_12,118
TRAINSEG_13,296
TRAINSEG_14,109
TRAINSEG_15,522
TRAINSEG_16,133
TRAINSEG_17,306
TRAINSEG_18,99
TRAINSEG_19,290
TRAINSEG_20,165
TRAINSEG_21,140
TRAINSEG_22,125
TRAINSEG_23,245
TRAINSEG_24,180
TRAINSEG_25,274
TRAINSEG_26,562
TRAINSEG_27,64
TRAINSEG_28,526
TRAINSEG_29,201
TRAINSEG_30,5408
TRAINSEG_31,76
TRAINSEG_32,379
TRAINSEG_33,1230
TRAINSEG_34,90
TRAINSEG_35,370
TRAINSEG_36,105
TRAINSEG_37,1210
TRAINSEG_38,730
TRAINSEG_39,230
TRAINSEG_40,405
TRAINSEG_41,630
TRAINSEG_42,310
TRAINSEG_43,290
TRAINSEG_44,90
TRAINSEG_45,39
TRAINSEG_46,220
TRAINSEG_47,260
TRAINSEG_48,205
TRAINSEG_49,240
TRAINSEG_50,99
TRAINSEG_51,328
TRAINSEG_52,261
TRAINSEG_53,633
TRAINSEG_54,4236
TRAINSEG_55,1293
TRAINSEG_56,72
TRAINSEG_57,50
TRAINSEG_58,162
TRAINSEG_59,365
TRAINSEG_60,118
TRAINSEG_61,296
TRAINSEG_62,109
TRAINSEG_63,522
TRAINSEG_64,133
TRAINSEG_65,306
TRAINSEG_66,99
TRAINSEG_67,301
TRAINSEG_68,165
TRAINSEG_69,140
TRAINSEG_70,125
TRAINSEG_71,257
TRAINSEG_72,180
TRAINSEG_73,274
TRAINSEG_74,562
TRAINSEG_75,64
TRAINSEG_76,526
TRAINSEG_77,201
TRAINSEG_78,5408
TRAINSEG_79,76
TRAINSEG_80,379
TRAINSEG_81,1230
TRAINSEG_82,90
TRAINSEG_83,370
TRAINSEG_84,105
TRAINSEG_85,1210
TRAINSEG_86,730
TRAINSEG_87,230
TRAINSEG_88,405
TRAINSEG_89,630
TRAINSEG_90,310
TRAINSEG_91,290
TRAINSEG_92,90
TRAINSEG_93,820
TRAINSEG_94,195
TRAINSEG_95,360
TRAINSEG_96,118
TRAINSEG_97,324
TRAINSEG_98,298
TRAINSEG_99,378
TRAINSEG_100,2102
TRAINSEG_101,152
TRAINSEG_102,241
TRAINSEG_103,39
TRAINSEG_104,220
TRAINSEG_105,260
TRAINSEG_106,205
TRAINSEG_107,328
TRAINSEG_108,261
TRAINSEG_109,633
TRAINSEG_110,4236
TRAINSEG_111,1293
TRAINSEG_112,72
TRAINSEG_113,50
TRAINSEG_114,162
TRAINSEG_115,365
TRAINSEG_116,118
TRAINSEG_117,296
TRAINSEG_118,109
TRAINSEG_119,522
TRAINSEG_120,133
TRAINSEG_121,306
TRAINSEG_122,99
TRAINSEG_123,286
TRAINSEG_124,165
TRAINSEG_125,140
TRAINSEG_126,125
TRAINSEG_127,195
TRAINSEG_128,180
